"id";"brand_name";"Title";"Rating";"rating_count";"reviews";"Current Price";"Original Price";"Discount";"Processor";"ram_capacity";"Operating System";"StorageCapacity";"Screen Size"
1;"Acer";"Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...";4.1;241;24118;41990;53000;"20";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"512";"35.56 cm (14 Inch)"
2;"HP";"HP 255 G9 AMD Ryzen 3 Dual Core 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Notebook";4.1;409;40929;26490;44911;"41";"AMD Ryzen 3 Dual Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
3;"ASUS";"ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504F...";4.4;2011;2011243;41990;61990;"32";"AMD Ryzen 3 Quad Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
4;"Lenovo";"Lenovo V15 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light L...";4.2;1303;1303125;34800;69525;"49";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
5;"Lenovo";"Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...";4.6;8;80;38490;55190;"30";"Intel Core i3 Processor (12th Gen)";8;"Windows 11";"512";"35.56 cm (14 Inch)"
6;"Lenovo";"Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and...";4.2;507;50745;47990;76390;"37";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
7;"Acer";"Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...";4.1;192;19211;34990;55990;"37";"Intel Core i3 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
8;"Acer";"Acer Swift Go 14 OLED 2024 EVO Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) SFG1...";4.3;95;959;67990;106999;"36";"Intel Core i7 Processor (13th Gen)";16;"Windows 11";"512";"35.56 cm (14 inch)"
9;"ASUS";"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...";4.3;340;34020;60990;90990;"32";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
10;"HP";"HP 360 Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook";4.0;1312;1312102;19990;32279;"38";"Intel Celeron Quad Core Processor";4;"Chrome OS";"Unknown";"Unknown"
11;"HP";"HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s- ey2001au Thin and Light Lapto...";4.2;592;59244;48990;64235;"23";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
12;"DELL";"DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3525 Laptop";3.8;30;302;35990;49477;"27";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
13;"HP";"HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...";4.2;5495;5495483;38990;51134;"23";"Intel Core i3 Processor (12th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
14;"Lenovo";"Lenovo V15 Intel Celeron Dual Core 4th Gen N4500 - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop";4.0;2980;2980225;22990;42032;"45";"Intel Celeron Dual Core Processor (4th Gen)";8;"Windows 11";"256";"39.62 cm (15.6 inch)"
15;"Acer";"Acer AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop";4.0;3;30;31990;41999;"23";"AMD Ryzen 3 Quad Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
16;"Infinix";"Infinix X3 Slim Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) XL422 Thin and ...";4.1;1390;1390190;29990;54990;"45";"Intel Core i3 Processor (12th Gen)";0;"Windows 11";"512";"35.56 cm (14 Inch)"
